"Artifact","Rows","Columns","Schema","Source","DataKey","GeneratedWith"
"workflow_fit_overview.csv",1,87,"Model|Method|MethodUsed|ICContractVersion|N|ResponseRows|WeightedResponseTotal|Persons|Npar|Facets|FacetInteractions|InteractionParameters|InteractionCells|InteractionSparseCells|Categories|LogLik|Deviance|WeightPolicy|ICEligible|ICSelectable|ICStatus|ICSampleSize|ICSampleSizeBasis|AIC|BIC|SABIC|SABICSelectable|AICFormula|BICFormula|SABICFormula|IntegrationEvaluationId|ICQuadraturePoints|ICIntegrationTier|ICIntegrationStatus|ICIntegrationSelectable|LegacyAIC|LegacyBIC|LegacyICSampleSize|LegacyICSampleSizeBasis|Converged|ReadinessContractVersion|FitReadiness|InferenceReady|InputState|EstimabilityState|CategoryState|BoundaryState|NumericalState|ReadinessReasonCodes|ReadinessAuditProvenance|BoundaryReasonCodes|Iterations|IterationsBasis|MMLEngineRequested|MMLEngineUsed|MMLEngineDetail|EMIterations|EMConverged|EMRelativeChange|OptimizerMethod|OptimizerInitialMethod|OptimizerPolished|OptimizerPolishSucceeded|OptimizerPolishStages|RequestedReltol|EffectiveReltol|OptimizerFactr|OptimizerPgtol|InitialTerminalGradientSupNorm|ConvergenceCode|ConvergenceBasis|ConvergenceStatus|ConvergenceReason|ConvergenceSeverity|ConvergenceMessage|ConvergenceDetail|ReviewableWarning|GradientReviewTolerance|FunctionEvaluations|GradientEvaluations|TerminalGradientSupNorm|TerminalGradientRMS|FacetSampleSizeFlag|FacetMinLevelN|FacetSparseCount|ExtremeHighN|ExtremeLowN","summary(fit_toy)$overview","example_operational","0.2.3.1"
"workflow_fit_decision.csv",1,5,"Interpretation|FormalInference|FitReadiness|Why|NextAction","summary(fit_toy)$decision","example_operational","0.2.3.1"
"workflow_diagnostic_overview.csv",1,11,"Observations|Persons|Facets|Categories|Subsets|ResidualPCA|DiagnosticMode|Method|PrecisionTier|MarginalFit|FairAverage","summary(diag_toy)$overview","example_operational","0.2.3.1"
"workflow_plot_components.csv",2,1,"Component","names(plot(fit_toy, draw = FALSE))","example_operational","0.2.3.1"
"workflow_next_actions.csv",9,5,"Priority|Area|Action|Route|Reason","summary(res_toy)$next_actions","example_operational","0.2.3.1"
"workflow_report_overview.csv",1,10,"Style|OverallStatus|FirstAction|ReviewAreas|NotComputedAreas|CaveatAreas|OptionalAreas|UnavailableAreas|OkAreas|SourceInclude","summary(report_toy)$overview","example_operational","0.2.3.1"
"workflow_export_files.csv",6,5,"Component|Format|Path|Note|DataHandling","head(export_toy$written_files), with Path reduced to basename","example_operational","0.2.3.1"
"workflow_summary_classes.csv",3,2,"Object|SummaryClass","class(summary(...))","example_operational","0.2.3.1"
"workflow_plot_object_components.csv",3,2,"Object|Components","names(plot(..., draw = FALSE))","example_operational","0.2.3.1"
"workflow_visual_checklist.csv",9,3,"Item|DraftReady|NextAction","reporting_checklist(...), Visual Displays","example_operational","0.2.3.1"
